user_id,name,age,email_id,email_domain,email_breach_history,email_isValid,email_domainValidation,email_Microsoft,email_LinkedIn,email_Meta,email_DisposableId,email_emailAge,phone_number,phone_carrier,phone_disposableSim,phone_phoneAge,cluster_id
user_1,Ava Smith,65,cygsgogo@gmail.com,gmail,4,True,True,True,True,False,False,1,7769391493,Airtel,False,5,0
user_2,James Rodriguez,63,hiducwxc@aol.com,aol,1,True,True,False,False,True,False,2,4764029916,T-Mobile,False,1,1
user_3,Sophia Miller,42,pebhatpz@hotmail.com,hotmail,0,True,True,True,False,True,False,2,8416451039,T-Mobile,False,1,1
user_4,Michael Jones,30,igbqyexn@hotmail.com,hotmail,0,True,True,False,False,False,False,5,7210961045,Vodafone,True,3,0
user_5,James Jones,51,rcatufxq@aol.com,aol,4,True,True,True,False,False,False,2,3226928096,Vodafone,True,5,0
user_6,Michael Davis,62,mmndkyll@gmail.com,gmail,0,True,True,True,True,False,False,3,2139464697,AT&T,True,5,1
user_7,James Smith,47,zplluofk@hotmail.com,hotmail,2,True,True,False,False,True,False,10,4797452757,Vodafone,True,2,0
user_8,Sophia Jones,58,zgcmnlnl@outlook.com,outlook,0,True,True,True,True,True,False,9,7754573906,Vodafone,False,4,1
user_9,Isabella Smith,63,zzctdphv@gmail.com,gmail,0,True,True,True,True,True,False,6,4188905863,Vodafone,True,3,1
user_10,Michael Johnson,80,ayimrjra@aol.com,aol,5,True,True,True,False,True,False,3,9395334833,Vodafone,False,3,0
user_11,Michael Brown,48,wbcgkamc@aol.com,aol,5,True,True,False,True,False,False,7,7006790188,Vodafone,False,4,0
user_12,Sophia Martinez,23,abtklznp@yahoo.com,yahoo,3,True,True,True,True,True,False,9,6964716169,Sprint,True,5,0
user_13,Emma Davis,42,ojwexupg@gmail.com,gmail,1,True,True,True,False,False,False,3,5150575014,Airtel,True,5,1
user_14,Alexander Williams,37,askfusas@aol.com,aol,1,True,True,True,False,False,False,3,4724636940,Verizon,True,2,0
user_15,Alexander Garcia,18,wxnphvcn@aol.com,aol,4,True,True,True,True,True,False,10,8467976088,Sprint,True,3,0
user_16,Isabella Rodriguez,63,pmesyfrm@yahoo.com,yahoo,5,True,True,False,True,False,False,2,7668950422,T-Mobile,False,2,0
user_17,Alexander Johnson,55,kgxitwuo@yahoo.com,yahoo,2,True,True,False,True,True,False,8,1582866296,T-Mobile,True,3,1
user_18,William Garcia,72,myptpnar@yahoo.com,yahoo,2,True,True,False,False,True,False,1,6449847964,AT&T,True,3,1
user_19,Emma Rodriguez,52,pqffldqv@yahoo.com,yahoo,2,True,True,True,False,True,False,9,6379470365,Vodafone,False,2,1
